path,scope,category,validation,result,notes
.gitattributes,wrapper,project,existence,present,Binary or non-parseable project artefact
.gitignore,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/app.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/appearance.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/community-plugins.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/core-plugins.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/graph.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/dataview/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/excalibrain/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/excalibrain/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/excalibrain/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/excalibrain/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/mermaid-popup/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/mermaid-popup/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/mermaid-popup/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/mermaid-tools/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/mermaid-tools/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/mermaid-tools/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-excalidraw-plugin/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-excalidraw-plugin/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-excalidraw-plugin/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-git/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-kanban/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-local-rest-api/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-tasks-plugin/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/obsidian-trash-explorer/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
