producer,consumer,dependency_type,protocol_port,identity_or_auth,certificate_dns_acl,data_store,backup,monitoring,failure_mode,rebuild_source,status
Upstream router,OpenWrt,WAN routing and DNS,DHCP/WAN,device admin,upstream policy,none,unknown,health script partial,internet and upstream control loss,physical/provider records,blocked-control-plane
OpenWrt,All VLAN clients,routing and policy,DHCP/DNS/NTP/firewall,device and VLAN identity,router ACL/UCI,n/a,repo intent only,Proxmox script partial,estate-wide network or name-resolution loss,router-deploy source,source-live-drift
Managed switch,Proxmox OMV AP cameras,layer-2 VLAN trunk access and PoE,802.1Q/Ethernet,switch admin,port PVID/trunk/PoE config,n/a,no proved export,no independent monitor,segment or camera power loss,docs plus unknown live config,blocked-auth
OpenWrt,HomeIoT devices,VLAN50 DHCP DNS and MQTT-only path,DHCP DNS 53 MQTT TLS 8883,device MAC plus broker auth,live zone internally iot_sensors,n/a,repo source and live UCI only,router health partial,deploying renamed source may break segment,router-deploy source,unsafe-drift
OpenWrt,Docker host and Tailscale clients,routed management and narrow host routes,IP forwarding,router and tailnet identity,router ACL plus Tailscale policy,n/a,repo source only,none proved,overexposure or route loss,router and tailscale docs,partially-verified
Tailscale control plane,Remote clients,route approval identity and packet policy,WireGuard overlay,user device tag identity,ACL or grants plus approved routes,n/a,external control plane,client status only,remote access denied or overly broad,tailnet policy not captured,blocked-session
DNS and NTP,All hosts,name resolution time and certificate validity,53/123,host network identity,router enforcement,n/a,none,partial health probes,auth TLS logging and automation failures,router source,partially-verified
Proxmox,VM100 Home Assistant,compute storage startup and virtual network,KVM/virtio,root and PVE roles,PVE firewall and bridge,local-lvm plus guest disk,vzdump to OMV,health script plus Kuma,HA unavailable or stale memory until restart,guest config plus backup,verified-running
Proxmox,VM102 Monitoring,compute storage startup and virtual network,KVM/virtio,root and PVE roles,PVE firewall and bridge,local-lvm plus guest disk,vzdump to OMV,self-monitoring,loss of dashboards and alerts,guest config plus backup,verified-running
Proxmox,VM103 Docker host,compute storage startup and virtual network,KVM/virtio,root and PVE roles,PVE firewall and bridge,local-lvm plus guest disk,vzdump to OMV,health script plus Kuma,loss of applications Tailscale and app backups,guest config plus backup,verified-running
Proxmox,CT111 Frigate,compute iGPU storage and network,LXC device mapping,root and container identity,PVE plus CT firewall,thin root plus OMV NFS,vzdump root plus NFS data separate,health script incomplete,thin exhaustion or camera loss,CT config Compose repo and backup,critical-capacity
Proxmox,CT114 Local AI,compute iGPU memory and network,LXC device mapping,root and service auth,PVE plus CT firewall,thin root model files,vzdump to OMV,Kuma stale coverage,memory or GPU contention disables voice/AI,CT config Compose docs and backup,verified-running-risk
OMV,Proxmox,backup target,NFS,client IP plus sec=sys,NFS exports and firewall,md0 backups,RAID1 only,job logs,backup jobs fail or ransomware reaches copies,OMV config plus repo procedures,verified-current-not-independent
OMV,Frigate,recording storage,NFS bind mount,CT UID/GID plus sec=sys,client-restricted export,md0 frigate path,RAID1 not backup,Frigate stats,recording loss or CT fallback pressure,Compose Frigate config OMV export docs,verified-current
OMV,Docker Immich,media storage,NFS mount,VM identity plus sec=sys,client-restricted export,md0 immich path,not proved,Immich unhealthy monitor,mount failure causes outage or local fallback writes,fstab Compose and OMV export,failed
OMV,Home Assistant,native backup target,NFS backup storage,HA storage identity,client-restricted export,md0 backups/home-assistant,HA retention 14,HA backup status,backup fails when NAS unavailable,HA storage config plus OMV export,verified-partial-content
Home Assistant,Mosquitto,app supervision and config,Supervisor app,Supervisor identity,HA app boundary,HA data/add-on config,excluded from automatic HA backup,HA app state,MQTT unavailable to HomeIoT and Frigate,HA app store plus config,incomplete-backup
Mosquitto,Frigate and ESPHome,telemetry events and commands,MQTT TLS 8883,per-client credentials,local CA and router ACL,broker persistence unknown,HA app backup excluded,HA entity state,automation and camera integration degradation,HA app plus source config,verified-live
Home Assistant,Frigate,CCTV integration and dashboards,HTTPS/API MQTT go2rtc,Frigate and HA users,local CA and application auth,HA storage and Frigate DB,split across VM CT and OMV,Kuma plus dashboards,stale camera entities or unavailable live view,repo package dashboard and Frigate config,verified-live
Camera,Frigate,RTSP and control,RTSP/go2rtc/ISAPI,camera service account,camera VLAN ACL,recording stream,OMV recording plus config DB,Frigate stats,camera offline privacy or retention gap,camera hardening guide plus config,one-camera-verified
Home Assistant,Local AI,conversation requests and tool routing,HTTP APIs 8081 and Wyoming,HA integration and service identities,host firewall DOCKER-USER,models prompts conversation state,CT backup only,insufficient current Kuma coverage,unsafe tool choice privacy leak or unavailable voice,repo custom component and CT stack,partially-verified
Local AI,iGPU,chat embedding and voice acceleration,DRM render device,container device mapping,host and LXC device ACL,model files,CT backup,resource stats only,contention or OOM affects AI and Frigate common host GPU,CT config and model manifest,untested-contention
Docker host,Household Hub,container runtime and application network,Docker bridge/published ports,application users and env secrets,DOCKER-USER plus app auth,PostgreSQL Qdrant Redis,VM backup only,no canonical monitor,data and rebuild loss,live unversioned source only,unreproducible
Docker host,Application stacks,container runtime DNS storage and secrets,Docker bridge/HTTP,app-specific credentials,DOCKER-USER UFW router ACL,local app data and NFS,partial app-data plus VM backup,Kuma partial,service outage or silent data loss,repo Compose plus live drift,partially-reproducible
Docker host,Tailscale remote clients,subnet routing,NAT and WireGuard,tailnet node key,tailnet grants ACL and host firewall,n/a,VM backup does not restore control-plane approval,client status only,remote exposure or loss of access,host install docs plus external policy,blocked-control-plane
Monitoring host,Operators,alerts dashboards and history,HTTP/HTTPS and ntfy,service accounts and browser users,router ACL with empty DOCKER-USER,Influx Grafana Kuma DB,VM backup only,self-monitoring,common-mode failure hides estate faults,repo stack and VM backup,partially-verified
Health script,Operator,estate status summary,HTTPS SSH and storage probes,host SSH keys and endpoint auth,TLS trust and allowlisted network,n/a,repo script plus host copy,systemd timer,false-green report misses real failures,repo monitoring scripts,incomplete
Backup schedules,OMV,VM CT app and HA copies,NFS and archive formats,root service accounts,client exports and filesystem ACL,md0,retention varies,job logs only,overlap saturation ransomware or corrupt archives,backup scripts and guest configs,unrestored
Windows vault,Operators,credentials CA and recovery,Windows credential store,user identity,local user trust store,credential metadata,no proved independent backup,no monitor,loss of access or stale shared secrets,manual rebuild ledger,blocked-content-review
Git remote,All rebuilds,source history and audit evidence,Git over SSH/HTTPS,GitHub identity,repository permissions,canonical source,remote Git copy,Git status only,missing live-only source or leaked historic secret,repository,verified-remote-with-secret-history
Physical power,Router switch Proxmox OMV cameras,power continuity and orderly shutdown,AC/DC/UPS,n/a,physical topology,n/a,no proved UPS policy,no independent monitor,common-mode estate outage and filesystem risk,physical BOM incomplete,omitted
