path,git_state,scope,category,validation,result,notes
.codex/environments/environment.toml,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.gitattributes,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.gitignore,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/app.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/appearance.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/community-plugins.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/core-plugins.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/graph.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/dataview/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/dataview/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/excalibrain/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/excalibrain/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/excalibrain/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/excalibrain/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/mermaid-popup/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/mermaid-popup/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/mermaid-popup/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/mermaid-tools/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/mermaid-tools/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/mermaid-tools/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-excalidraw-plugin/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-excalidraw-plugin/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-excalidraw-plugin/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-git/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-git/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-kanban/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-kanban/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-livesync/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-livesync/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-livesync/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-local-rest-api/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-local-rest-api/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-tasks-plugin/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian-tasks-plugin/styles.css,tracked,wrapper,project,existence/hash,present,Binary or format-specific artifact
.obsidian/plugins/obsidian-trash-explorer/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian-trash-explorer/manifest.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/data.json,tracked,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/main.js,tracked,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
