placement,component,type,version_or_image,state,exposure_or_dependency,classification,validation,finding
physical,upstream-router,network-control-plane,unknown,unverified,WAN and upstream routing,live-critical,blocked,control-plane unavailable
physical,managed-switch,network-control-plane,Zyxel GS1900 family,reachable-auth-blocked,VLAN trunks PVID PoE,live-critical,blocked,F-012
openwrt,home-router,router,live OpenWrt,operational,DHCP DNS NTP firewall Wi-Fi,live-critical,partial,F-003
openwrt,HomeIoT VLAN50,network-segment,live internal iot_sensors,operational,MQTT allow plus DNS and internet deny,live-critical,verified-read-only,F-003
tailscale,docker-host subnet router,remote-access-control,installed client,operational-local,4 narrow /32 advertisements,live-critical,partial,F-012
proxmox,VM100 home-assistant,virtual-machine,HAOS,running,4096MB runtime plus 32GB disk,live-critical,verified-read-only,F-006
proxmox,VM101 frigate-nvr,virtual-machine,retired rollback,stopped,4096MB plus 64GB,retired,classified,no current owner decision
proxmox,VM102 monitoring,virtual-machine,Debian 13,running,2048MB plus 32GB,live-critical,verified-read-only,F-014
proxmox,VM103 docker-host,virtual-machine,Debian 13,running,4096MB plus 64GB,live-critical,verified-read-only,F-002
proxmox,VM104 llm-host,virtual-machine,retired rollback,stopped,10240MB plus 160GB,retired,classified,no current owner decision
proxmox,CT111 frigate-nvr,container,Debian 13,running,iGPU plus thin root plus OMV NFS,live-critical,verified-read-only,F-004
proxmox,CT114 llm-host,container,Debian 13,running,iGPU plus 20GB RAM,live-critical,verified-read-only,F-020
home-assistant,Home Assistant Core,automation-platform,2026.7.1,healthy,HTTPS and integrations,live-critical,verified-read-only,F-013
home-assistant,Supervisor,control-plane,2026.06.2,healthy,HA app supervision,live-critical,verified-read-only,F-006
home-assistant,HAOS,operating-system,18.1,healthy,VM100 platform,live-critical,verified-read-only,F-006
home-assistant,Mosquitto broker,HA app,7.1.0,started,MQTT TLS for Frigate and ESPHome,live-critical,verified-read-only,F-006
home-assistant,File editor,HA app,6.0.0,started,HA config write access,live-admin,verified-read-only,governance review
home-assistant,Terminal and SSH,HA app,10.3.0,started,approved SSH path,live-admin,verified-read-only,F-017
home-assistant,ESPHome Device Builder,HA app,2026.6.4,started,device builds and secrets,live-critical,verified-read-only,F-021
home-assistant,MQTT IO,HA app,0.4.0,stopped,legacy MQTT GPIO bridge,retired-or-dormant,classified,owner decision required
home-assistant,Samba share,HA app,12.7.1,started,Windows config share,live-admin,verified-read-only,access review
home-assistant,Advanced SSH and Web Terminal,HA app,24.0.1,error,host network plus Docker API manager role,live-failed,failed,F-017
home-assistant,Sonarr,HA app,0.5.0,started,undocumented media application,live-unexplained,verified-read-only,F-018
frigate,frigate,application-container,ghcr.io/blakeblackshear/frigate 0.17.1,healthy,8971 TLS plus RTSP WebRTC MQTT NFS,live-critical,verified-read-only,F-004
camera,Hikvision camera,camera,I51HJ firmware V5.8.10 build 250917,operational,RTSP ISAPI to Frigate,live-critical,verified-read-only,F-019
